"Grid_code" "Collection_date" "Ecosystem" "Country" "Locality" "X" "Y" "Num" "pHwater" "lime_tot" "MO" "Phos" "K" "Mg" "Ca" "Na" "N" "C" "CN" "clay" "SiltF" "SiltC" "SandF" "SandC" "Cl" "Res" "Cond" "Profondeur" "dep_oxy_num" "depth_oxy" "Pature" "Fauche" "plant_richness" "pl_rich_LCL" "pl_rich_UCL" "plant_H" "pl_H_LCL" "pl_H_UCL" "virus_richness" "v_rich_LCL" "v_rich_UCL" "virus_H" "v_H_LCL" "v_H_UCL" "Biomass" "fungi_richness" "plant_richness2" "p_richness_class5" "p_richness_class2" "log_virus_richness" "log_plant_richness" "log_plant_richness2" "log_plant_H" "log_virus_H" "log_biomass" "log_plant_equit" "plant_equit" "buffer_size" "wetland" "natural_landscape" "non_emitting" "cultivated" "artificial" "clust_landscp" "clust_land_use" "sbm_soil" "Vegetation" "clust_smb_grid_plant" "sbm_virus"
"21" "21_CAM_18" "2021-06-21" "Pond grassland" "France" "Arles" 4.68142921027558 43.5157177586366 2307083 8.3 24 6.94 39 686 1599 12129 1638 4184 40.2552204176334 9.62122858930053 46.9 34.9 12.5 3.8 1.9 1240 790 126.582278481013 "1" 1 "0-9" 1 0 3 3 3 2.05036641093728 1.91349518844169 2.18723763343288 1 1 1 1 1 1 46.04 27 9 "(0,5]" "(2,4]" 0.693147180559945 1.38629436111989 1.92181205567281 1.11526171813726 0.693147180559945 3.85099830359037 -0.271032642982634 0.683455470312428 300 82.8974821407065 5.2259775811702 11.8765402781233 0 0 4 1 1 0.266666666666667 6 4
"22" "22_CAM_01" "2022-04-14" "Mediterranean grassland annuals" "France" "Arles" 4.661782 43.463622 2307084 8 15 4.01 47 191 152 8903 62 2150 23.2598607888631 10.8185399017968 10.4 7.6 7.2 13.7 61.1 40 4390 22.7790432801822 ">40" 40 ">40" 1 0 51 45.2018750893596 56.7981249106404 10.7935384563882 9.68239664928818 11.9046802634883 5 2.2563361455556 7.7436638544444 5 2.30779708859867 7.69220291140133 79.57 81 2601 NA NA 1.79175946922805 3.95124371858143 15.6123269236292 2.46755179304864 1.79175946922806 4.3891263717891 -1.48369192553279 0.211638008948789 300 59.0699423653682 11.7989852262369 28.4439343199822 0 0.687138088412673 4 1 3 0.755555555555556 1 4
"23" "22_CAM_02" "2022-04-14" "Mediterranean grassland annuals" "France" "Arles" 4.66216 43.463715 2307085 8.1 17 2.69 50 142 145 8020 36 1451 15.6032482598608 10.7534447001108 6 4 6 12.9 71.1 26 5280 18.9393939393939 ">40" 40 ">40" 1 0 40 36.1405372692513 43.8594627307487 10.586336716382 9.85499684064696 11.3176765921171 20 13.9687262441164 26.0312737558836 19.1954488582882 13.4201437428568 24.9707539737196 71.15 113 1600 NA NA 3.04452243772342 3.71357206670431 13.7906174946065 2.44982653460169 3.00545727497725 4.27874728521988 -1.26374553210261 0.264658417909551 300 60.7101515209895 11.2249013611645 27.377809145203 0 0.687137972643014 4 1 4 0.805555555555556 1 2
"24" "22_CAM_03" "2022-04-25" "Mediterranean grassland annuals" "France" "Arles" 4.678219 43.482928 2307086 8.2 27 3.86 25 227 291 12007 231 2325 22.3897911832947 9.63001771324502 29.2 51.5 12.6 4.3 2.4 346 2690 37.1747211895911 ">40" 40 ">40" 1 0 55 50.9432620029969 59.0567379970031 17.3290429705857 16.3724491680094 18.2856367731619 20 14.2453053148638 25.7546946851362 19.0488126236184 13.4425051902942 24.6551200569426 69.21 113 3025 NA NA 3.04452243772342 4.02535169073515 16.2034562341043 2.90848684939122 2.9981699312318 4.25149075102916 -1.11686484134393 0.315073508556103 300 57.3466471957442 30.560727213088 12.0926255911678 0 0 3 1 3 0.727777777777778 1 2
"25" "22_CAM_04" "2022-04-25" "Mediterranean grassland annuals" "France" "Arles" 4.67912 43.483346 2307087 8 28 4.37 31 382 613 12253 928 2625 25.3480278422274 9.65639155894377 28.5 47.7 14.3 6.7 2.8 1940 770 129.87012987013 "37" 37 "30-39" 1 0 61 53.4038267942616 68.5961732057384 21.2163533564836 19.7363936819531 22.696313031014 14 8.34438115975026 19.6556188402497 13.4543426440594 8.24047152613844 18.6682137619804 85.89 118 3721 NA NA 2.70805020110221 4.12713438504509 17.0332382322215 3.10082865537331 2.6709948984093 4.46464295085111 -1.02630572967178 0.347809071417764 300 55.8728383116197 33.4758806223751 10.6512810660052 0 0 3 1 3 0.838888888888889 1 2
"26" "22_CAM_05" "2022-05-11" "Mediterranean salt grassland" "France" "Arles" 4.67098889 43.50468889 2307088 9.1 32 1.84 36 307 1576 9803 3281 1221 10.6728538283063 8.74107602645886 31.8 45.1 10.8 8.5 3.8 2780 500 200 "35" 35 "30-39" 1 0 16 14.222087789119 17.777912210881 4.45900513298631 4.22834549918539 4.68966476678724 10 4.60241375385077 15.3975862461492 9.69750380495624 4.25926206483863 15.1357455450738 68.33 78 256 "(15,20]" "(14,16]" 2.39789527279837 2.83321334405622 8.02709785293821 1.69726656307877 2.37001042499526 4.2388777129544 -1.13594678097744 0.278687820811644 300 41.8798154602581 30.0663702357155 20.8771046112484 7.17670969277803 0 3 1 2 0.611111111111111 3 2
"27" "22_CAM_06" "2022-05-11" "Mediterranean salt grassland" "France" "Arles" 4.683941 43.484647 2307089 8.3 26 5.39 28 849 1589 10588 3758 3306 31.2645011600928 9.4568969026294 31.1 48.4 11.6 6.3 2.6 4040 330 303.030303030303 ">40" 40 ">40" 1 0 24 19.8818857790752 28.1181142209248 4.5690914902369 4.28531861204906 4.85286436842473 6 2.61657757800353 9.38342242199647 6 2.65058164886259 9.34941835113741 118.85 87 576 "(20,25]" "(22,24]" 1.94591014905531 3.2188758248682 10.3611615759209 1.71723193295829 1.94591014905531 4.78624096088039 -1.50164389190991 0.190378812093204 300 46.7858685346123 39.9508163136881 9.64617307737831 3.61714207432128 0 3 1 2 0.794444444444444 3 4
"28" "22_CAM_07" "2022-05-11" "Mediterranean salt grassland" "France" "Arles" 4.660798 43.459028 2307090 9.3 34 2.41 23 395 1259 10328 2553 1328 13.9791183294664 10.5264445252006 31.5 50.1 12.9 3.2 2.3 1980 660 151.515151515152 "7" 7 "0-9" 1 0 26 22.2516228005328 29.7483771994672 8.76868098139892 8.41783184440715 9.11953011839069 21 13.2194674226624 28.7805325773376 19.6119446461779 12.0016546125328 27.2222346798231 72.39 98 676 "(25,30]" "(24,26]" 3.09104245335832 3.29583686600433 10.8625406473132 2.27918144991882 3.02587074494801 4.29578768655697 -1.01665541608551 0.337256960823035 300 49.4632293178714 25.4105532403921 22.2312808460957 0 2.8949365956409 3 1 2 0.727777777777778 3 2
"29" "22_CAM_08" "2022-05-12" "Farmland meadow" "France" "Arles" 4.66368333 43.58020556 2307091 7.8 26 6.17 56 106 387 12794 86 3778 35.7888631090487 9.47296535443323 21.3 26.1 25.8 23 3.8 36 3420 29.2397660818713 "37" 37 "30-39" 0 1 18 16.7801732440104 19.2198267559896 4.42194569262405 4.14005751983758 4.70383386541052 22 14.3976369519652 29.6023630480348 16.8597439949691 10.5463128458784 23.1731751440598 159.34 62 324 "(15,20]" "(16,18]" 3.13549421592915 2.94443897916644 8.66972090203471 1.69045473491123 2.88254924135733 5.07729656061481 -1.25398424425521 0.245663649590225 300 0 0 35.6462858654438 54.6490523508024 9.70466178375377 1 3 3 0.816666666666667 4 1
"30" "22_CAM_09" "2022-05-12" "Farmland meadow" "France" "Arles" 4.66345278 43.57918611 2307092 7.9 29 5.58 47 83 288 12390 62 3578 32.3665893271462 9.04600037091844 21.1 31.5 25.2 19.2 3 30 3860 25.9067357512953 ">40" 40 ">40" 0 1 14 13.274170379313 14.725829620687 4.2874258530114 4.0576027466248 4.51724895939799 25 18.221926560362 31.778073439638 22.8594377884447 16.6327550474346 29.0861205294547 159.4 72 196 "(10,15]" "(12,14]" 3.25809653802148 2.70805020110221 7.33353589168972 1.66533152120294 3.17217985346025 5.07767069543241 -1.04271867989927 0.306244703786528 300 0 0 20.4902907231988 61.1239616524207 18.3857476243805 1 3 3 0.927777777777778 4 1
