Host_code	Host_community	GPS_localisation	Locality	Country	Ecosystem	Collection_date	Sequencing_plate	Additional_information	Biomass	Grid_code	Vegetation	Litter	Soil	Rocks
20_CAM_030300	"Limonium narbonense_87,5;Parapholis filiformis_3;Bromus hordeaceus_3;Elytrigia sp._10;Juncus gerardi_0,5"	43.477205000817776,4.664586028084159	Arles	France	Parapholis-dominated salt grassland	2020-06-22	20CAM-2_B10		20.74	20_CAM_03	90	10	0	
20_CAM_030400	"Parapholis filiformis_62,5;Bromus hordeaceus_0,5;Juncus gerardi_3;Trifolium squamosum_0,5;Lysimachia arvensis_0,5"	43.477205000817776,4.664586028084159	Arles	France	Parapholis-dominated salt grassland	2020-06-22	20CAM-2_G10		4.85	20_CAM_03	60	40	0	
20_CAM_030500	"Limonium narbonense_37,5;Parapholis filiformis_3;Bromus hordeaceus_10;Centaurium tenuiflorum subsp. acutiflorum_0,5;Elytrigia sp._37,5;Juncus gerardi_3;Lysimachia arvensis_0,5;Trifolium nigrescens_0,5;Medicago polymorpha_0,5;Trifolium campestre_0,5;Atriplex prostrata_0,5;Sonchus sp._0,5"	43.477205000817776,4.664586028084159	Arles	France	Parapholis-dominated salt grassland	2020-06-22	20CAM-2_D09		12.21	20_CAM_03	80	20	0	
20_CAM_030600	"Parapholis filiformis_37,5;Bromus hordeaceus_0,5;Centaurium tenuiflorum subsp. acutiflorum_3;Elytrigia sp._20;Juncus gerardi_10;Trifolium squamosum_3;Lysimachia arvensis_0,5;Trifolium nigrescens_3;Bellis annua_0,5"	43.477205000817776,4.664586028084159	Arles	France	Parapholis-dominated salt grassland	2020-06-22	20CAM-2_B08		7.03	20_CAM_03	75	20	5	
20_CAM_030700	"Limonium narbonense_20;Parapholis filiformis_37,5;Bromus hordeaceus_0,5;Centaurium tenuiflorum subsp. acutiflorum_0,5;Bupleurum semicompositum_0,5;Elytrigia sp._37,5;Juncus gerardi_3"	43.477205000817776,4.664586028084159	Arles	France	Parapholis-dominated salt grassland	2020-06-22	20CAM-2_G08		6.93	20_CAM_03	80	15	5	
20_CAM_030800	"Parapholis filiformis_87,5;Bromus hordeaceus_0,5;Centaurium tenuiflorum subsp. acutiflorum_0,5;Juncus gerardi_3;Lysimachia arvensis_0,5;Aster squamatus_0,5"	43.477205000817776,4.664586028084159	Arles	France	Parapholis-dominated salt grassland	2020-06-22	20CAM-2_D07		7.42	20_CAM_03	80	15	5	
20_CAM_030900	"Parapholis filiformis_10;Bromus hordeaceus_0,5;Centaurium tenuiflorum subsp. acutiflorum_0,5;Aeluropus littoralis_0,5;Elytrigia sp._87,5;Juncus gerardi_3;Trifolium tomentosum_0,5"	43.477205000817776,4.664586028084159	Arles	France	Parapholis-dominated salt grassland	2020-06-22	20CAM-2_A06		9.65	20_CAM_03	85	10	5	
20_CAM_040100	"Juncus maritimus_62,5;Lactuca saligna_20;Elytrigia sp._37,5;Crepis pulchra_3"	43.476804010570049,4.663856970146298	Arles	France	Mediterranean grassland	2020-06-22	20CAM-2_C05		37.02	20_CAM_04	75	25	0	
20_CAM_040200	"Juncus maritimus_20;Elytrigia sp._10;Crepis pulchra_0,5;Polygonum aviculare_0,5"	43.476804010570049,4.663856970146298	Arles	France	Mediterranean grassland	2020-06-22	20CAM-2_H05		26.01	20_CAM_04	30	70	0	
20_CAM_040300	"Juncus maritimus_3;Elytrigia sp._3;Brachypodium phoenicoides_87,5;Lysimachia arvensis_0,5"	43.476804010570049,4.663856970146298	Arles	France	Mediterranean grassland	2020-06-22	20CAM-2_E04		35.3	20_CAM_04	90	10	0	
