species,LB_NOM,NOM_VALIDE,CD_NOM,REGNE,PHYLUM,CLASSE,ORDRE,FAMILLE,SOUS_FAMILLE,TRIBU,RANG
Medicago.marina,Medicago marina,"Medicago marina L., 1753",107654,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Medicago.minima,Medicago minima,"Medicago minima (L.) L., 1754",107658,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Medicago.monspeliaca,Medicago monspeliaca,"Medicago monspeliaca (L.) Trautv., 1841",107662,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Medicago.polymorpha,Medicago polymorpha,"Medicago polymorpha L., 1753",107689,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Medicago.truncatula,Medicago truncatula,"Medicago truncatula Gaertn., 1791",107739,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Melilotus.indicus,Melilotus indicus,"Melilotus indicus (L.) All., 1785",107914,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Muscari.comosum,Muscari comosum,"Muscari comosum (L.) Mill., 1768",108874,Plantae,0,Equisetopsida,Asparagales,Asparagaceae,Scilloideae,Hyacintheae,ES
Muscari.neglectum,Muscari neglectum,"Muscari neglectum Guss. ex Ten., 1842",108898,Plantae,0,Equisetopsida,Asparagales,Asparagaceae,Scilloideae,Hyacintheae,ES
Myosurus.minimus,Myosurus minimus,"Myosurus minimus L., 1753",109126,Plantae,0,Equisetopsida,Ranunculales,Ranunculaceae,Ranunculoideae,Ranunculeae,ES
Neatostema.apulum,Neatostema apulum,"Neatostema apulum (L.) I.M.Johnst., 1953",109465,Plantae,0,Equisetopsida,Boraginales,Boraginaceae,0,0,ES
Oenanthe.sp.,Oenanthe,"Oenanthe L., 1753",195386,Plantae,0,Equisetopsida,Apiales,Apiaceae,Apioideae,Oenantheae,GN
Pallenis.spinosa,Pallenis spinosa,"Pallenis spinosa (L.) Cass., 1825",112065,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Inuleae,ES
Parapholis.filiformis,Parapholis filiformis,"Parapholis filiformis (Roth) C.E.Hubb., 1946",112396,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Parapholis.incurva,Parapholis incurva,"Parapholis incurva (L.) C.E.Hubb., 1946",112397,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Parapholis.sp.,Parapholis,"Parapholis C.E.Hubb., 1946",195796,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,GN
Paspalum.dilatatum,Paspalum dilatatum,"Paspalum dilatatum Poir., 1804",112482,Plantae,0,Equisetopsida,Poales,Poaceae,Panicoideae,Paspaleae,ES
Paspalum.distichum,Paspalum distichum,"Paspalum distichum L., 1759",112483,Plantae,0,Equisetopsida,Poales,Poaceae,Panicoideae,Paspaleae,ES
Phillyrea.angustifolia,Phillyrea angustifolia,"Phillyrea angustifolia L., 1753",113142,Plantae,0,Equisetopsida,Lamiales,Oleaceae,0,Oleeae,ES
Phleum.arenarium,Phleum arenarium,"Phleum arenarium L., 1753",113178,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Phragmites.australis,Phragmites australis,"Phragmites australis (Cav.) Trin. ex Steud., 1840",113260,Plantae,0,Equisetopsida,Poales,Poaceae,Arundinoideae,Molinieae,ES
Picris.hieracioides.subsp..hieracioides,Picris hieracioides subsp. hieracioides,"Picris hieracioides subsp. hieracioides L., 1753",138785,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,SSES
Pinus.pinea,Pinus pinea,"Pinus pinea L., 1753",113690,Plantae,0,Equisetopsida,Pinales,Pinaceae,0,0,ES
Plantago.bellardii,Plantago bellardii,"Plantago bellardii All., 1785",113816,Plantae,0,Equisetopsida,Lamiales,Plantaginaceae,0,Plantagineae,ES
Plantago.coronopus,Plantago coronopus,"Plantago coronopus L., 1753",113842,Plantae,0,Equisetopsida,Lamiales,Plantaginaceae,0,Plantagineae,ES
Plantago.lagopus,Plantago lagopus,"Plantago lagopus L., 1753",113889,Plantae,0,Equisetopsida,Lamiales,Plantaginaceae,0,Plantagineae,ES
Plantago.lanceolata,Plantago lanceolata,"Plantago lanceolata L., 1753",113893,Plantae,0,Equisetopsida,Lamiales,Plantaginaceae,0,Plantagineae,ES
Plantago.major,Plantago major,"Plantago major L., 1753",113904,Plantae,0,Equisetopsida,Lamiales,Plantaginaceae,0,Plantagineae,ES
Poa.bulbosa,Poa bulbosa,"Poa bulbosa L., 1753",114136,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Poa.pratensis,Poa pratensis,"Poa pratensis L., 1753 [nom. et typ. cons.]",114332,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Poa.trivialis,Poa trivialis,"Poa trivialis L., 1753",114416,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Podospermum.laciniatum,Podospermum laciniatum,"Podospermum laciniatum (L.) DC., 1805",114468,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Polycarpon.tetraphyllum,Polycarpon tetraphyllum,"Polycarpon tetraphyllum (L.) L., 1759",114517,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Polygala.monspeliaca,Polygala monspeliaca,"Polygala monspeliaca L., 1753",114569,Plantae,0,Equisetopsida,Fabales,Polygalaceae,0,Polygaleae,ES
Polygonum.aviculare,Polygonum aviculare,"Polygonum aviculare L., 1753",114658,Plantae,0,Equisetopsida,Caryophyllales,Polygonaceae,Polygonoideae,Polygoneae,ES
Polygonum.maritimum,Polygonum maritimum,"Polygonum maritimum L., 1753",114779,Plantae,0,Equisetopsida,Caryophyllales,Polygonaceae,Polygonoideae,Polygoneae,ES
Polypogon.monspeliensis,Polypogon monspeliensis,"Polypogon monspeliensis (L.) Desf., 1798",115027,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Polypogon.sp.,Polypogon,"Polypogon Desf., 1798",196546,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,GN
Potentilla.reptans,Potentilla reptans,"Potentilla reptans L., 1753",115624,Plantae,0,Equisetopsida,Rosales,Rosaceae,Rosoideae,Potentilleae,ES
Prunus.spinosa,Prunus spinosa,"Prunus spinosa L., 1753",116142,Plantae,0,Equisetopsida,Rosales,Rosaceae,Amygdaloideae,Amygdaleae,ES
Puccinellia.festuciformis,Puccinellia festuciformis,"Puccinellia festuciformis (Host) Parl., 1850",116350,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Ranunculus.acris,Ranunculus acris,"Ranunculus acris L., 1753",116903,Plantae,0,Equisetopsida,Ranunculales,Ranunculaceae,Ranunculoideae,Ranunculeae,ES
Ranunculus.bulbosus,Ranunculus bulbosus,"Ranunculus bulbosus L., 1753",116952,Plantae,0,Equisetopsida,Ranunculales,Ranunculaceae,Ranunculoideae,Ranunculeae,ES
Ranunculus.peltatus.subsp..peltatus,Ranunculus peltatus subsp. peltatus,"Ranunculus peltatus subsp. peltatus Schrank, 1789",139772,Plantae,0,Equisetopsida,Ranunculales,Ranunculaceae,Ranunculoideae,Ranunculeae,SSES
Ranunculus.sardous,Ranunculus sardous,"Ranunculus sardous Crantz, 1763",117221,Plantae,0,Equisetopsida,Ranunculales,Ranunculaceae,Ranunculoideae,Ranunculeae,ES
Romulea.ramiflora,Romulea ramiflora,"Romulea ramiflora Ten., 1827",117918,Plantae,0,Equisetopsida,Asparagales,Iridaceae,Crocoideae,Ixieae,ES
Rostraria.cristata,Rostraria cristata,"Rostraria cristata (L.) Tzvelev, 1971",118872,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Rostraria.pubescens,Rostraria pubescens,"Rostraria pubescens (Lam.) Trin., 1820",118877,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Rubus.ulmifolius,Rubus ulmifolius,"Rubus ulmifolius Schott, 1818",119373,Plantae,0,Equisetopsida,Rosales,Rosaceae,Rosoideae,Rubeae,ES
Rumex.crispus,Rumex crispus,"Rumex crispus L., 1753",119473,Plantae,0,Equisetopsida,Caryophyllales,Polygonaceae,Polygonoideae,Rumiceae,ES
Rumex.pulcher,Rumex pulcher,"Rumex pulcher L., 1753",119569,Plantae,0,Equisetopsida,Caryophyllales,Polygonaceae,Polygonoideae,Rumiceae,ES
